startup_id,config_version,processing_started_at,processing_completed_at,processing_duration_seconds,pipeline_version,Column 64,overall_score,threshold_used,passed_threshold,market_potential_score,market_potential_confidence,solution_viability_score,solution_viability_confidence,team_capability_score,team_capability_confidence,initial_traction_score,initial_traction_confidence,video_moderation_status,video_moderation_high_confidence_labels,transcript_inappropriate_content_found,transcript_length,transcript_word_count,email_type,is_test,Column 1,Column 2
S081,1,2025-07-03T16:37:57Z,2025-07-03T16:40:28Z,151,v1.0,improvement,3.0,3.25,False,4,7,3,5,3,5,2,8,APPROVED,0,False,922,162,improvement,False,,
S054,1,2025-07-03T19:44:04Z,2025-07-03T19:46:38Z,154,v1.0,improvement,3.0,3.25,False,3,6,3,5,4,7,2,5,APPROVED,0,False,695,127,improvement,False,,
S082,1,2025-07-03T17:49:57Z,2025-07-03T17:52:00Z,123,v1.0,improvement,3.0,3.25,False,3,6,3,6,3,6,3,7,APPROVED,0,False,1667,288,improvement,False,,
S042,1,2025-07-03T19:34:02Z,2025-07-03T19:36:09Z,127,v1.0,improvement,3.0,3.25,False,4,7,3,6,2,6,3,7,APPROVED,0,False,974,165,improvement,False,,
S084,1,2025-07-03T16:59:54Z,2025-07-03T17:02:09Z,135,v1.0,improvement,3.0,3.25,False,4,7,3,6,2,6,3,7,APPROVED,0,False,1085,184,improvement,False,,
S083,1,2025-07-03T17:47:55Z,2025-07-03T17:51:18Z,203,v1.0,improvement,3.0,3.25,False,3,7,3,6,3,5,3,7,APPROVED,0,False,2199,370,improvement,False,,
S086,1,2025-07-03T17:35:55Z,2025-07-03T17:38:02Z,127,v1.0,improvement,3.0,3.25,False,4,7,3,6,3,5,2,8,APPROVED,0,False,874,157,improvement,False,,
S087,1,2025-07-03T18:39:59Z,2025-07-03T18:42:53Z,174,v1.0,improvement,3.0,3.25,False,3,6,3,6,3,7,3,7,APPROVED,0,False,1324,215,improvement,False,,
S089,1,2025-07-03T17:09:53Z,2025-07-03T17:12:49Z,176,v1.0,improvement,3.0,3.25,False,3,7,3,6,3,8,3,8,APPROVED,0,False,3687,624,improvement,False,,
S026,1,2025-07-03T19:06:00Z,2025-07-03T19:08:14Z,134,v1.0,improvement,3.0,3.25,False,3,6,3,6,4,7,2,7,APPROVED,0,False,1141,211,improvement,False,,
S090,1,2025-07-03T19:12:02Z,2025-07-03T19:14:20Z,138,v1.0,improvement,2.75,3.25,False,3,7,3,6,3,6,2,8,APPROVED,0,False,1040,178,improvement,False,,
S091,1,2025-07-03T18:51:59Z,2025-07-03T18:54:05Z,126,v1.0,improvement,2.75,3.25,False,3,6,3,5,2,6,3,6,APPROVED,0,False,1435,251,improvement,False,,
S092,1,2025-07-03T20:24:05Z,2025-07-03T20:26:21Z,136,v1.0,improvement,2.75,3.25,False,3,6,3,5,3,5,2,7,APPROVED,0,False,1228,217,improvement,False,,
S093,1,2025-07-03T20:18:05Z,2025-07-03T20:20:02Z,117,v1.0,improvement,2.75,3.25,False,3,6,3,5,2,8,3,5,APPROVED,0,False,931,146,improvement,False,,
S094,1,2025-07-03T16:55:53Z,2025-07-03T16:58:06Z,133,v1.0,improvement,2.75,3.25,False,4,7,3,6,2,5,2,8,APPROVED,0,False,1266,232,improvement,False,,
S070,1,2025-07-03T19:32:02Z,2025-07-03T19:34:16Z,134,v1.0,improvement,2.75,3.25,False,3,6,3,6,3,5,2,7,APPROVED,0,False,889,127,improvement,False,,
S085,1,2025-07-03T19:04:00Z,2025-07-03T19:06:33Z,153,v1.0,improvement,2.75,3.25,False,3,6,3,6,3,6,2,7,APPROVED,0,False,985,150,improvement,False,,
S088,1,2025-07-03T20:10:04Z,2025-07-03T20:16:44Z,400,v1.0,improvement,2.75,3.25,False,4,7,3,6,2,5,2,7,APPROVED,0,False,883,136,improvement,False,,
S095,1,2025-07-03T18:50:00Z,2025-07-03T18:52:10Z,130,v1.0,improvement,2.75,3.25,False,4,7,3,6,3,6,1,8,APPROVED,0,False,2574,416,improvement,False,,
S096,1,2025-07-03T18:44:00Z,2025-07-03T18:46:13Z,133,v1.0,improvement,2.5,3.25,False,3,6,3,6,3,5,1,8,APPROVED,0,False,1328,220,improvement,False,,
S071,1,2025-07-03T19:30:02Z,2025-07-03T19:32:04Z,122,v1.0,improvement,2.5,3.25,False,2,7,2,6,3,5,3,5,APPROVED,0,False,659,113,improvement,False,,
S097,1,2025-07-03T16:53:52Z,2025-07-03T16:56:09Z,137,v1.0,improvement,2.5,3.25,False,3,6,2,7,3,6,2,8,APPROVED,0,False,1305,213,improvement,False,,
S098,1,2025-07-03T17:15:55Z,2025-07-03T17:18:11Z,136,v1.0,improvement,2.5,3.25,False,3,6,3,6,2,8,2,8,APPROVED,0,False,909,158,improvement,False,,
S099,1,2025-07-03T18:27:59Z,2025-07-03T18:29:58Z,119,v1.0,improvement,2.5,3.25,False,3,6,3,5,2,7,2,7,APPROVED,0,False,670,119,improvement,False,,
S100,1,2025-07-03T18:07:57Z,2025-07-03T18:11:29Z,212,v1.0,improvement,2.5,3.25,False,3,6,3,7,2,7,2,7,APPROVED,0,False,5294,995,improvement,False,,
S101,1,2025-07-03T17:01:54Z,2025-07-03T17:04:04Z,130,v1.0,improvement,2.5,3.25,False,3,6,3,6,3,5,1,8,APPROVED,0,False,1225,184,improvement,False,,
S102,1,2025-07-03T20:26:05Z,2025-07-03T20:28:40Z,155,v1.0,improvement,2.5,3.25,False,3,6,3,5,2,8,2,7,APPROVED,0,False,892,133,improvement,False,,
S105,1,2025-07-03T18:33:58Z,2025-07-03T18:36:05Z,127,v1.0,improvement,2.25,3.25,False,3,6,3,5,2,7,1,9,APPROVED,0,False,767,158,improvement,False,,
S104,1,2025-07-03T20:30:06Z,2025-07-03T20:32:12Z,126,v1.0,improvement,2.25,3.25,False,3,6,3,5,2,7,1,9,APPROVED,0,False,1246,234,improvement,False,,
S106,1,2025-07-03T18:19:57Z,2025-07-03T18:22:26Z,149,v1.0,improvement,2.25,3.25,False,3,5,3,5,2,7,1,9,APPROVED,0,False,783,131,improvement,False,,
S107,1,2025-07-03T17:51:57Z,2025-07-03T17:54:08Z,131,v1.0,improvement,2.25,3.25,False,2,7,3,5,3,7,1,9,APPROVED,0,False,567,94,improvement,False,,
S069,1,2025-07-03T19:36:02Z,2025-07-03T19:38:21Z,139,v1.0,improvement,2.25,3.25,False,3,6,2,6,3,5,1,8,APPROVED,0,False,814,137,improvement,False,,
S108,1,2025-07-03T17:11:53Z,2025-07-03T17:14:29Z,156,v1.0,improvement,2.25,3.25,False,2,8,3,7,2,7,2,7,APPROVED,0,False,3862,668,improvement,False,,
S109,1,2025-07-03T18:23:58Z,2025-07-03T18:26:42Z,164,v1.0,improvement,2.0,3.25,False,2,8,2,8,2,7,2,8,APPROVED,0,False,4079,750,improvement,False,,
S110,1,2025-07-03T20:00:04Z,2025-07-03T20:02:15Z,131,v1.0,improvement,2.0,3.25,False,2,7,2,7,2,8,2,7,APPROVED,0,False,610,111,improvement,False,,
S111,1,2025-07-03T16:47:52Z,2025-07-03T16:50:05Z,133,v1.0,improvement,2.0,3.25,False,2,7,2,7,1,9,3,5,APPROVED,0,False,1692,251,improvement,False,,
S112,1,2025-07-03T17:37:55Z,2025-07-03T17:40:13Z,138,v1.0,improvement,2.0,3.25,False,2,8,2,7,3,6,1,8,APPROVED,0,False,857,148,improvement,False,,
S114,1,2025-07-03T16:49:52Z,2025-07-03T16:52:34Z,162,v1.0,improvement,2.0,3.25,False,2,7,2,5,1,8,3,5,APPROVED,0,False,231,40,improvement,False,,
S115,1,2025-07-03T18:09:58Z,2025-07-03T18:12:25Z,147,v1.0,improvement,2.0,3.25,False,2,8,2,7,2,7,2,7,APPROVED,0,False,1236,220,improvement,False,,
S103,1,2025-07-03T19:38:02Z,2025-07-03T19:40:05Z,123,v1.0,improvement,1.75,3.25,False,2,7,2,6,2,7,1,9,APPROVED,0,False,714,133,improvement,False,,
S017,1,2025-07-03T17:19:54Z,2025-07-03T17:22:07Z,133,v1.0,improvement,1.75,3.25,False,2,7,2,5,2,5,1,9,APPROVED,0,False,246,43,improvement,False,,
S116,1,2025-07-03T20:06:06Z,2025-07-03T20:08:44Z,158,v1.0,improvement,1.75,3.25,False,2,8,2,7,1,8,2,7,APPROVED,0,False,708,120,improvement,False,,
S117,1,2025-07-03T19:08:00Z,2025-07-03T19:10:13Z,133,v1.0,improvement,1.75,3.25,False,2,7,2,6,2,7,1,8,APPROVED,0,False,418,72,improvement,False,,
