startup_id,rnd,dd,Column 30,Column 29,expert_score,prod_score,avg,avg_meth,avg_no_meth,s1_avg_1,s2_avg,s4_avg,s1_anthropic_1,s1_anthropic_2,s1_openai_1,s1_openai_2,s2_anthropic_1,s2_anthropic_2,s2_openai_1,s2_openai_2,s4_anthropic_1,s4_anthropic_2,s4_openai_1,s4_openai_2
S042,86,True,54,19,3.6,3.0,3.17188,3.34375,3.0,3.1875,3.5,3.0,2.75,3.0,3.5,3.5,3,3,4,4,2,2,4,4
S051,15,False,51,18,3.4,3.5,3.39063,3.40625,3.375,3.3125,3.5,3.5,2.75,3.25,3.75,3.5,3,3,4,4,3,3,4,4
S052,8,False,49,17,3.4,2.75,2.65625,2.6875,2.625,2.875,2.5,2.75,2.75,2.5,3.0,3.25,2,2,3,3,2,2,3,4
S032,81,False,46,16,3.3,3.75,3.42188,3.59375,3.25,3.6875,3.5,3.5,3.5,3.75,3.75,3.75,3,3,4,4,3,3,4,4
S055,45,False,43,15,3.3,3.25,3.39063,3.53125,3.25,3.5625,3.5,3.5,3.25,3.25,4.0,3.75,3,3,4,4,3,3,4,4
S053,26,False,40,14,3.3,3.0,3.26563,3.28125,3.25,3.0625,3.5,3.25,2.5,3.25,3.25,3.25,3,3,4,4,2,3,4,4
S054,95,False,37,13,3.3,3.0,3.20313,3.53125,2.875,3.5625,3.5,3.25,3.25,3.25,4.25,3.5,3,3,4,4,3,2,4,4
S044,13,False,34,12,3.2,3.5,3.67188,3.84375,3.5,3.6875,4.0,3.5,3.5,3.25,4.0,4.0,4,4,4,4,3,3,4,4
S070,29,False,31,11,3.2,2.75,3.07813,3.40625,2.75,3.3125,3.5,3.0,2.75,3.0,3.75,3.75,3,3,4,4,2,2,4,4
S069,37,False,29,10,3.2,2.25,2.60938,2.59375,2.625,2.6875,2.5,2.75,2.25,2.25,3.0,3.25,2,2,3,3,1,2,4,4
S072,33,False,26,9,3.1,3.75,3.5,3.5,3.5,3.5,3.5,3.5,3.25,3.25,3.75,3.75,3,3,4,4,3,3,4,4
S071,71,False,23,8,3.1,2.5,2.90625,2.8125,3.0,3.125,2.5,3.0,2.75,2.5,4.0,3.25,2,2,3,3,2,2,4,4
S085,5,False,20,7,3.0,2.75,3.23438,3.34375,3.125,3.1875,3.5,3.25,2.75,3.0,3.5,3.5,3,3,4,4,3,2,4,4
S088,28,False,17,6,3.0,2.75,3.15625,3.3125,3.0,3.125,3.5,3.25,3.0,3.0,3.25,3.25,3,3,4,4,2,3,4,4
S076,2,False,14,5,2.8,3.0,3.4375,3.5,3.375,3.5,3.5,3.25,3.0,3.0,4.0,4.0,3,3,4,4,2,3,4,4
S103,52,False,11,4,2.4,1.75,2.20313,2.40625,2.0,2.3125,2.5,2.0,2.0,2.25,2.5,2.5,2,2,3,3,1,1,3,3
S113,45,False,9,3,2.0,1.75,1.95313,2.15625,1.75,2.0625,2.25,2.0,2.0,1.75,2.25,2.25,2,3,2,2,1,1,3,3
S110,60,False,6,2,1.4,2.0,1.67188,1.84375,1.5,2.1875,1.5,1.5,2.0,2.0,2.5,2.25,1,1,2,2,1,1,2,2
S116,2,False,3,1,1.3,1.75,1.39063,1.53125,1.25,1.8125,1.25,1.0,1.75,1.5,2.0,2.0,1,1,2,1,1,1,1,1
